path,class,risk,invariant,n_distinct,n_present,val_glider,val_ultralight,val_ga_single,val_jet,val_electric
"_blad/0/_geo_xyz/0,10,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,10,1",FLIGHT,,False,4,4,,0.015946917,-0.020478800,-0.000416667,0.131935507
"_blad/0/_geo_xyz/0,10,2",FLIGHT,,False,4,4,,-0.019166498,-0.014339413,0.000000000,0.003289137
"_blad/0/_geo_xyz/0,11,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,11,1",FLIGHT,,False,4,4,,-0.028449813,0.026635200,-0.000333333,0.024058037
"_blad/0/_geo_xyz/0,11,2",FLIGHT,,False,4,4,,-0.031125853,-0.072907932,-0.001250000,-0.330725491
"_blad/0/_geo_xyz/0,12,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,12,1",FLIGHT,,False,4,4,,-0.053828642,0.054901898,-0.000166667,-0.055312943
"_blad/0/_geo_xyz/0,12,2",FLIGHT,,False,4,4,,-0.028296039,-0.095842481,-0.001833333,-0.442824721
"_blad/0/_geo_xyz/0,13,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,13,1",FLIGHT,,False,4,4,,-0.066549405,0.071697064,0.000000000,-0.111470170
"_blad/0/_geo_xyz/0,13,2",FLIGHT,,False,4,4,,-0.017255126,-0.102394000,-0.002083333,-0.464306623
"_blad/0/_geo_xyz/0,14,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,14,1",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,14,2",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,15,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,15,1",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,15,2",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
"_blad/0/_geo_xyz/0,16,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
